time_interval_authentication (us),time_interval_association (us),time_interval_eapol_first (us),time_interval_eapol_second (us)
18498.897552490234,29742.717742919922,114364.6240234375,133042.3355102539
8454.322814941406,26729.106903076172,109684.46731567383,144107.34176635742
13391.971588134766,52602.291107177734,109422.20687866211,150120.25833129883
21908.283233642578,27847.2900390625,112679.00466918945,149435.99700927734
40.531158447265625,10364.055633544922,115189.5523071289,134925.84228515625
20167.827606201172,29931.068420410156,109894.2756652832,151100.15869140625
19.073486328125,10750.293731689453,106062.8890991211,139660.83526611328
8614.063262939453,22478.103637695312,115418.4341430664,129866.6000366211
4062.652587890625,31189.918518066406,147173.40469360352,162827.9685974121
22006.03485107422,49943.92395019531,108048.91586303711,139503.47900390625
12571.81167602539,20418.167114257812,112888.81301879883,158002.37655639648
54352.2834777832,57570.9342956543,105893.61190795898,135574.3408203125
33688.54522705078,39222.24044799805,111074.44763183594,139009.95254516602
19.073486328125,38607.120513916016,117321.01440429688,152900.21896362305
55587.2917175293,43134.68933105469,83136.55853271484,144009.59014892578
19.073486328125,25973.32000732422,108501.91116333008,145285.12954711914
36454.200744628906,45990.943908691406,118253.23104858398,241277.21786499023
21200.180053710938,30341.148376464844,110852.71835327148,146722.79357910156
3132.8201293945312,32117.366790771484,115556.71691894531,149502.75421142578
12178.421020507812,13158.321380615234,116155.14755249023,138690.47164916992
18467.90313720703,29506.683349609375,105738.63983154297,137350.55923461914
25908.946990966797,34978.389739990234,108487.60604858398,158197.87979125977
16827.58331298828,48763.75198364258,117840.76690673828,317730.9036254883
26712.417602539062,45785.90393066406,104148.38790893555,130913.25759887695
10921.955108642578,36172.86682128906,105624.19891357422,141277.31323242188
26552.677154541016,29010.772705078125,101060.86730957031,150556.5643310547
21276.473999023438,42479.03823852539,105259.41848754883,148451.3282775879
21388.530731201172,30219.554901123047,105023.38409423828,153627.3956298828
27065.277099609375,50394.535064697266,108184.814453125,157966.61376953125
21581.649780273438,12447.834014892578,107491.01638793945,144124.03106689453
26121.139526367188,31657.21893310547,123901.3671875,140089.9887084961
25823.116302490234,33011.436462402344,108301.63955688477,143404.0069580078
45318.603515625,38607.120513916016,110120.77331542969,143904.6859741211
11744.499206542969,30949.115753173828,116748.80981445312,166954.99420166016
14431.476593017578,33152.103424072266,119006.63375854492,144584.17892456055
21970.272064208984,45616.62673950195,98667.14477539062,155756.47354125977
21910.667419433594,55127.14385986328,102064.60952758789,159821.5103149414
68790.91262817383,27897.357940673828,108292.1028137207,158810.61553955078
26609.89761352539,36473.27423095703,148065.09017944336,167567.72994995117
23019.31381225586,48928.260803222656,92287.06359863281,150618.5531616211
18746.85287475586,32031.536102294922,104994.7738647461,144085.88409423828
18827.91519165039,97324.84817504883,47471.52328491211,186951.1604309082
23732.18536376953,32281.875610351562,112309.45587158203,293323.9936828613
22079.944610595703,29921.531677246094,114924.90768432617,143744.94552612305
36361.2174987793,32167.434692382812,104343.89114379883,142595.76797485352
22969.24591064453,60644.14978027344,91819.76318359375,153830.05142211914
32534.59930419922,48599.2431640625,109159.94644165039,146799.08752441406
22411.346435546875,35941.60079956055,112314.22424316406,142002.10571289062
29859.542846679688,28524.398803710938,114023.68545532227,146644.11544799805
29520.98846435547,35772.32360839844,110075.47378540039,152261.25717163086
23827.552795410156,29301.64337158203,107707.97729492188,140814.78118896484
25877.952575683594,30426.979064941406,111389.16015625,144262.31384277344
22797.584533691406,39389.13345336914,171966.552734375,163671.97036743164
21677.017211914062,25796.890258789062,109055.0422668457,140519.1421508789
21548.27117919922,28636.455535888672,99303.7223815918,134389.40048217773
24781.227111816406,36127.567291259766,105834.0072631836,147418.97583007812
32246.112823486328,37176.60903930664,107274.05548095703,149428.8444519043
38180.35125732422,76782.7033996582,77385.90240478516,137355.32760620117
26841.163635253906,30908.584594726562,108044.14749145508,204839.70642089844
14221.668243408203,27153.491973876953,105845.92819213867,162599.0867614746
23660.659790039062,43735.504150390625,106077.19421386719,143370.6283569336
26798.248291015625,28028.488159179688,109250.54550170898,155777.9312133789
22096.633911132812,32305.71746826172,107672.21450805664,156185.62698364258
49605.369567871094,28948.78387451172,110144.61517333984,144579.41055297852
20649.433135986328,30012.130737304688,156099.79629516602,140280.72357177734
29950.14190673828,29118.061065673828,113725.66223144531,136468.41049194336
23860.931396484375,28307.437896728516,110743.04580688477,213131.90460205078
21531.58187866211,46491.62292480469,108704.5669555664,152742.86270141602
20554.065704345703,44374.46594238281,108263.49258422852,147788.52462768555
19369.125366210938,37963.3903503418,109074.11575317383,155298.70986938477
25537.01400756836,30839.44320678711,111992.35916137695,148222.4464416504
25708.675384521484,66430.56869506836,110530.85327148438,141777.99224853516
36005.97381591797,29447.078704833984,108098.98376464844,178635.1203918457
28345.584869384766,62112.80822753906,88505.74493408203,152177.8106689453
31731.128692626953,47028.0647277832,86071.49124145508,149502.75421142578
24359.22622680664,36513.8053894043,109899.04403686523,139737.12921142578
24478.435516357422,29468.536376953125,107548.23684692383,153114.79568481445
22184.84878540039,32083.988189697266,111694.3359375,140409.4696044922
34866.3330078125,39389.13345336914,113780.49850463867,155613.42239379883
19979.476928710938,30386.44790649414,106229.78210449219,161163.8069152832
25274.75357055664,33197.40295410156,104477.4055480957,148193.8362121582
27341.842651367188,29857.158660888672,120327.47268676758,143899.91760253906
26984.214782714844,50935.74523925781,104269.98138427734,157370.56732177734
20916.461944580078,46370.02944946289,84948.53973388672,156421.66137695312
20811.55776977539,32157.89794921875,116143.22662353516,151040.55404663086
27179.718017578125,35870.07522583008,103793.14422607422,156080.7228088379
20613.670349121094,28207.30209350586,109195.70922851562,153021.81243896484
27153.491973876953,77221.39358520508,70102.21481323242,173072.81494140625
21092.891693115234,48127.174377441406,91669.55947875977,155360.69869995117
20017.623901367188,34518.24188232422,98206.99691772461,156822.20458984375
18115.04364013672,43675.899505615234,105190.27709960938,156712.53204345703
17840.862274169922,32486.915588378906,106847.28622436523,156364.44091796875
24309.158325195312,32835.00671386719,104577.54135131836,151202.67868041992
23310.184478759766,32119.7509765625,107307.43408203125,145685.67276000977
41406.15463256836,76825.61874389648,55651.66473388672,139756.2026977539
24266.24298095703,41933.05969238281,110733.5090637207,194945.3353881836
30181.407928466797,47574.04327392578,104296.20742797852,178954.6012878418
47621.726989746094,76191.42532348633,62823.29559326172,146288.87176513672
22537.708282470703,27160.64453125,105381.01196289062,148119.92645263672
29520.98846435547,33221.24481201172,108509.06372070312,166337.4900817871
21655.559539794922,33171.17691040039,109553.33709716797,164885.5209350586
23481.84585571289,35080.909729003906,113110.54229736328,148403.64456176758
23274.42169189453,41084.28955078125,146107.67364501953,156736.3739013672
47552.58560180664,42033.19549560547,107269.287109375,154666.90063476562
12376.30844116211,30953.88412475586,103306.77032470703,134854.31671142578
28238.296508789062,46732.425689697266,107357.50198364258,174348.3543395996
27484.893798828125,41892.52853393555,115756.98852539062,142481.32705688477
64778.32794189453,39722.91946411133,101466.17889404297,171806.81228637695
21593.570709228516,40409.56497192383,99973.67858886719,158205.0323486328
21579.265594482422,34582.61489868164,111026.76391601562,154147.14813232422
13413.429260253906,75831.41326904297,101861.95373535156,180644.98901367188
21593.570709228516,25224.685668945312,102534.29412841797,132744.31228637695
39298.53439331055,73246.95587158203,75197.21984863281,139765.73944091797
40585.994720458984,36091.80450439453,113017.55905151367,148653.98406982422
22828.57894897461,41389.46533203125,112812.51907348633,161399.84130859375
28219.223022460938,49991.607666015625,96495.15151977539,156452.65579223633
32641.887664794922,53446.292877197266,103397.36938476562,138719.0818786621
21674.633026123047,49226.28402709961,108036.99493408203,148036.47994995117
75390.33889770508,49090.38543701172,102183.81881713867,159606.93359375
23982.524871826172,39651.39389038086,112175.94146728516,162179.47006225586
30193.328857421875,65042.972564697266,99966.52603149414,154328.3462524414
21955.96694946289,63931.941986083984,77838.89770507812,148320.19805908203
34713.7451171875,52740.57388305664,112090.1107788086,152978.89709472656
27487.27798461914,54638.38577270508,1043357.8491210938,154042.24395751953
91423.98834228516,45766.83044433594,114581.58493041992,124201.77459716797
27816.295623779297,49448.01330566406,110683.44116210938,155479.90798950195
25732.51724243164,33595.56198120117,102415.08483886719,141704.08248901367
67710.87646484375,41923.52294921875,156257.15255737305,173399.4483947754
27692.317962646484,31330.585479736328,111532.21130371094,165197.84927368164
20835.399627685547,29947.757720947266,110075.47378540039,147283.07723999023
31599.998474121094,34992.69485473633,106022.35794067383,157752.03704833984
20277.50015258789,76713.56201171875,107975.00610351562,181198.1201171875
33581.25686645508,60241.2223815918,91593.26553344727,158219.3374633789
21164.417266845703,37338.7336730957,112316.60842895508,175366.40167236328
23868.083953857422,77443.12286376953,107975.00610351562,220272.54104614258
41723.25134277344,34387.11166381836,108146.66748046875,144908.42819213867
27995.10955810547,46052.93273925781,105440.61660766602,173830.98602294922
25002.95639038086,31995.773315429688,110101.69982910156,152747.63107299805
34108.16192626953,61719.417572021484,104997.15805053711,153403.28216552734
31468.868255615234,58417.320251464844,105292.79708862305,149626.7318725586
83887.57705688477,34775.733947753906,102314.94903564453,159130.09643554688
25498.86703491211,71835.51788330078,82013.60702514648,150654.31594848633
28450.489044189453,52602.291107177734,102524.7573852539,1175978.183746338
57041.64505004883,41465.75927734375,108788.01345825195,144467.35382080078
29740.333557128906,32875.53787231445,112431.04934692383,142793.6553955078
30589.10369873047,31602.38265991211,112147.33123779297,190224.64752197266
